taxon,body_mass,age_at_first_birth,gestation_length,litter_size,litters_per_year,neonate_body_mass,weaning_age,reproductive_lifespan
Camelus_dromedarius,5.692595316788558,3.217910133246651,2.587160734706186,-0.00877392430750515,0.0,4.565271406061472,2.590373640782616,4.112215436288265
Canis_adustus,4.016719615285838,,1.8129133566428555,0.6532125137753437,,,1.7233735670189845,
Canis_aureus,3.984918677055306,,1.7870351820262234,0.5728716022004802,,2.3259669637014246,1.787460474518415,
Canis_latrans,4.07878658262311,2.5622928644564746,1.7905666251460766,0.7573960287930241,,2.3010517098452263,1.6405808064896525,3.8810516270808875
Canis_lupus,4.501832767967122,2.738384123512156,1.8027737252919758,0.6972293427597176,0.3010299956639812,2.615223868131828,1.6514718521990424,4.009450895798694
Bos_frontalis,5.90316763733177,,2.4373541278481747,0.08635983067474821,0.0,4.3612942693060495,2.2710745274759008,
Bos_grunniens,5.698970004336019,,2.4373541278481747,0.0,0.0,,2.3861956561205666,
Bos_javanicus,5.803439593288006,2.960232873128512,2.4724346304941105,0.08635983067474821,0.0,,2.4590002392686943,3.9439493470422615
Callicebus_cupreus,3.048060949133405,,2.11143055176598,0.004321373782642578,,1.8668778143374989,2.305028753746333,
Callicebus_donacophilus,2.953116711367955,,,0.00860017176191757,,,,
Callicebus_dubius,2.9966867556001713,,,0.00860017176191757,,,,
Callicebus_hoffmannsi,3.028412633047729,,,0.00860017176191757,,,,
Callicebus_modestus,2.9966867556001713,,,0.00860017176191757,,,,
Caluromys_derbianus,2.5141757204068163,,,0.49692964807321494,,,,
Caluromys_lanatus,2.5444773290864293,,,,,,,
Caluromys_philander,2.391764065084441,2.5244999768259015,1.3800302479678306,0.6211762817750351,0.3010299956639812,-0.6989700043360187,2.077912702949456,3.2960257072651777
Caluromysiops_irrupta,2.4107435004569315,,,0.3010299956639812,,,,
Calyptophractus_retusus,2.113909943754037,,,,,,,
Camelus_bactrianus,5.743914011307688,3.164352855784437,2.5998721600149453,0.14301480025409505,0.0,4.535884258110787,2.5660012108277144,4.118595365223762
Bos_sauveli,5.898353108249931,,,,,,,
Bos_taurus,5.791439696042666,,2.44790189874972,,0.0,,,
Boselaphus_tragocamelus,5.26067478112836,2.960232873128512,2.395308916078588,0.14301480025409505,,3.7690078709437738,,3.8455940931600243
Canis_mesomelas,3.9163117925472326,,1.7958800173440752,0.5899496013257077,,2.248463717551032,1.5327543789924978,
Canis_simensis,4.157210688891373,,1.8035253955765325,,,,1.842609239610562,
Cannomys_badius,2.67400640193848,,1.617943434828973,0.3010299956639812,,,1.6998377258672457,
Caperea_marginata,7.505149978048472,,,-0.00877392430750515,,,,
Capra_caucasica,4.764546134159709,,2.1903316981702914,0.037426497940623665,,,,
Capra_falconeri,4.7348267822037515,2.863322860120456,2.2252575769240988,0.2380461031287954,,,2.2234699811619203,3.6414741105040997
Capra_hircus,4.675654357641764,2.825529972489883,2.1931245983544616,0.16136800223497488,,3.329623613133184,2.1987670210094086,3.8402842943558984
Capra_ibex,4.842277339290208,2.960232873128512,2.224014811372864,0.045322978786657475,,3.443899486047203,2.048247531803974,3.858958054718006
Atelerix_algirus,2.9561588220840775,,1.5938396610812713,0.3979400086720376,0.3010299956639812,,1.5987905067631152,
Atelerix_frontalis,2.517354274350649,,1.569724949226159,0.69810054562339,0.17609125905568124,1.0232524596337116,1.541579243946581,
Ateles_belzebuth,3.8255831884108997,,2.1405080430381798,0.00860017176191757,,,,
Ateles_chamek,3.8484305299337436,,,,,,,
Ateles_fusciceps,3.957508637859958,3.248929133718768,2.351603072419129,0.004321373782642578,,2.6989613183595207,2.683677298818692,3.8442347978972995
Ateles_geoffroyi,3.8798066913553257,3.318167720128966,2.3548188708477213,0.004321373782642578,,2.6292566515815383,2.911876397086321,3.8967466156074058
Ateles_marginatus,3.794437852422052,,,,,,,
Ateles_paniscus,3.939381953926563,3.2612628687924934,2.358277575795226,0.0,,2.68000898983399,2.90601701752105,4.078166708168154
Callicebus_moloch,2.981424438569481,3.0394141191761372,2.214843848047698,0.004321373782642578,,1.8715729355458788,1.7697464671794534,3.9105977275046353
Callicebus_oenanthe,2.9966867556001713,,,0.00860017176191757,,,,
Callicebus_olallae,2.9966867556001713,,,0.00860017176191757,,,,
Callicebus_personatus,3.1432646820112207,,,0.004321373782642578,,,,
Callicebus_torquatus,3.08263100683105,,,0.004321373782642578,,,2.0851478121269045,
Callimico_goeldii,2.7466341989375787,2.691815015734726,2.187492518980425,0.021189299069938092,,1.7032913781186614,1.8230175234460493,3.7811570001340513
Callistomys_pictus,2.7151589898587485,,,,,,,
Callithrix_argentata,2.5831080502411354,2.785009335604058,,0.2648178230095365,,1.5538830266438743,,3.7421317924796615
Callithrix_aurita,2.5868122694433757,,2.146128035678238,0.3010299956639812,,,,
Callithrix_emiliae,2.490772895905551,,,,,,,
Callithrix_flaviceps,2.571673900552835,,2.146128035678238,0.3010299956639812,,,,
Callithrix_geoffroyi,2.534026106056135,,,,,,,
Callithrix_humeralifera,2.5740196863871163,,,,,1.5378190950732742,1.9956790605116221,
Callithrix_intermedia,,,,0.3010299956639812,,,,
